100	0
200	0
300	0
400	0
500	0
600	0
700	15
800	0
900	0
1000	16
1100	0
1200	16
1300	0
1400	15
1500	16
1600	15
1700	16
1800	16
1900	15
2000	0
2100	32
2200	15
2300	16
2400	15
2500	47
2600	47
2700	16
2800	31
2900	31
3000	32
3100	46
3200	32
3300	31
3400	47
3500	47
3600	47
3700	46
3800	32
3900	47
4000	31
4100	31
4200	47
4300	31
4400	31
4500	47
4600	47
4700	31
4800	32
4900	47
5000	62
5100	63
5200	46
5300	32
5400	47
5500	62
5600	94
5700	94
5800	93
5900	94
6000	109
6100	110
6200	94
6300	109
6400	109
6500	94
6600	94
6700	125
6800	125
6900	140
7000	125
7100	110
7200	94
7300	171
7400	79
7500	93
7600	110
7700	140
7800	110
7900	125
8000	234
8100	188
8200	109
8300	109
8400	110
8500	125
8600	109
8700	109
8800	141
8900	94
9000	109
9100	125
9200	110
9300	109
9400	125
9500	125
9600	125
9700	156
9800	110
9900	140
