100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	15
1200	0
1300	0
1400	0
1500	16
1600	0
1700	0
1800	16
1900	0
2000	15
2100	0
2200	16
2300	0
2400	0
2500	16
2600	0
2700	15
2800	16
2900	0
3000	15
3100	32
3200	15
3300	16
3400	16
3500	15
3600	16
3700	15
3800	16
3900	31
4000	32
4100	15
4200	31
4300	32
4400	15
4500	32
4600	15
4700	31
4800	32
4900	15
5000	47
5100	16
5200	47
5300	31
5400	47
5500	47
5600	47
5700	31
5800	47
5900	47
6000	46
6100	63
6200	47
6300	62
6400	78
6500	47
6600	47
6700	47
6800	63
6900	46
7000	79
7100	93
7200	63
7300	62
7400	63
7500	78
7600	62
7700	94
7800	110
7900	62
8000	94
8100	78
8200	109
8300	78
8400	79
8500	109
8600	94
8700	93
8800	110
8900	94
9000	125
9100	140
9200	110
9300	93
9400	110
9500	140
9600	141
9700	109
9800	125
9900	125
10000	172
10100	203
10200	203
10300	219
10400	235
10500	187
10600	172
10700	187
10800	141
10900	219
11000	203
11100	187
11200	203
11300	172
11400	156
11500	141
11600	219
11700	234
11800	297
11900	156
